ID,PRODUCT,SLOGAN,DESCRIPTION
439,MISSILE,plug anal bestial para gente experimentada,"Solo para ti, directo al corazón, ha llegado este misil para que te derritas de pasión. Este plug te robará el corazón si lo que te gustan son las emociones fuertes, porque si eres de las personas a las que se las conquista por el trasero, Missile está hecho para ti.Missile es un aliado brillante, precioso y atrevido, pero también exigente, solo apto para las personas experimentadas que lo que quieren es disfrutar las sensaciones más intensas. Este certero misil directo a tu trasero nunca falla y sin duda te dará... te dará todo el placer que andas buscando con su suave y pesado cuerpo.Su material metálico es un perfecto transmisor de temperatura lo que te permitirá enfriarlo o calentarlo para que disfrutes aún más de la experiencia y su delicado cristal adornará tu anatomía porque a todos los culos les gusta verse guapos.Así que ármate con Missile, mucho lubricante y cariño y prepárate para disfrutar de esta arma de placer masivo."
440,TÓTEM Vibrador Punto G flexible,,"Ya tienes aquí un vibrador flexible con esferas que actuará para venerar el acto de darte amor a ti misma a través de la masturbación. Este bonito y simbólico TÓTEM es un vibrador con forma de múltiples esferas. Es decir, en la punta su diseño es ondulado, formado por tres bolitas que se interseccionan entre sí, y terminan en punta. La punta de TÓTEM es rígida y estriada para que tu punto G sea estimulado con la fuerza que necesita, pero el tronco del juguete es flexible para que podamos manipular el ángulo. Es de fácil manejo, pues solo tiene un botón en la base con el cual podrás manejar sus 9 patrones de vibración.TÓTEM es un vibrador con una forma que escapa de la forma de dildos clásicos y realistas. Apuesta por una nueva silueta que nos estimulará de formas diferentes a cómo lo hacen históricamente los juguetes de una forma cilíndrica clásica."
441,UTÓPICA Dildo doble percutor XXL,,"Te parecerá una utopía la atracción magnética que te hará sentir este juguete cuando veas cómo puede dar inmenso placer a dos personas a la vez.Majestuoso y de respetables tamaños, UTÓPICA es un doble dildo gigante que no solo vibra al ritmo de nueve patrones de vibración, sino que en ambos extremos imitan la penetración. Es decir, que tiene función percutora y todo el juguete se mueve de delante hacia detrás gracias a sus dos potentes motores. UTÓPICA está pensado para ser compartido, para que sea usado por dos personas que quieran experimentar ser penetradas al mismo tiempo y observarse la una a la otra en este acto de manera simultánea. Las posturas podrán ser infinitas, pues UTÓPICA tiene uno de sus extremos rígidos pero el otro completamente flexible, pudiendo elegir el ángulo con el que nos queremos quedar. Cómo se utiliza el doble dildo XXLSus nada más y nada menos que 45 cm de largo nos permitirán experimentar una visión más amplia de la escena. Debido a los límites de distancia que el juguete impone entre los cuerpos y no tenerlos tan juntos, podrás observar con más perspectiva cómo tu amante disfruta de la penetración de UTÓPICA, así como disfrutar de la excitación que provoca el ser observada.Será todo un juego de miradas alternando entre sus ojos, pechos y genitales o con una estupenda y panorámica vista trasera. Todo es ponerse a fluir e improvisar con las múltiples posturas que podemos experimentar gracias a las dimensiones de este pedazo de dildo semirealistico que nos hará conectar a niveles cósmicos pero muy visuales. No olvides acompañarlo con tu lubricante base de agua preferido, como Desliz!, y limpiarlo antes y después de cada uso con agua tibia y un jabón neutro, o un jabón bactericida como Limpín. Sécalo bien antes de guardarlo y mantenlo alejado de otros juguetes, por ejemplo en una de nuestras bolsas de satén."
442,Cadena para pezones ajustable con 7 cascabeles,,"Marca el ritmo en tu cama con estas pinzas para pezones unidas por una cadena dorada de cuarenta centímetros, de la que cuelgan siete cascabeles distribuidos a lo lardo de ella, en diferentes tamaños y colores. Aportará peso a tus pezones, además del tintinear de los cascabeles.  Las pinzas son ajustables para determinar la presión que desees recibir. Y las gomas protectoras son extraíbles, para las que aman el dolor. Ideales para juegos sado, pero sobre todo para mujeres que quieren una buena estimulación mientras se lo montan.  Se presentan en una preciosa cajita-joyero."
443,Cadenita diamante para cintura,,"Una puede estar elegante y sexy sin llevar prácticamente nada encima. Elegante, fina y moderna, esta hermosa cadenita acabada con una estrella y un diamante te quedará como anillo al dedo pero ... ¡en la cintura! Y si eres una rebelde con encanto y no te gusta que te digan lo que tienes que hacer, puedes usar la cadenita como a ti más te guste. Es muy polivalente. Aquí van algunas ideas:Cintura: a modo de cinturón, te sentirás como una Marilyn de 90x60x90. ¡Marca tus caderas!Cuello: póntelo como si fuera un fular o un estrangulador. Verás que bonita queda a juego con los pendientes para pezones de amantis.Muñecas: usa la cadena como si fueran unas esposas de lujo. Bloquea tus brazos o los de tu amante.Cadenita de 110cm."
444,Kit de bondage púrpura de 7 piezas de amantis,,"¿La rutina se ha instalado en vuestro dormitorio? ¿Necesitáis probar cosas nuevas? ¿Os apetecen horas y horas de dulces castigos y más dulces recompensas? ¿Os pone a mil el roce del cuero contra vuestro cuerpo? Por fin todo lo que queríais probar en relación al BDSM en este Kit de Bondage: todo de cuero sintético, todo de color púrpura. Y es que no os faltará de nada ya seáis principiantes o expertos. ¿No os lo creéis? Al loro todo lo que incluye!:· Una pala para azote, así que ya sabéis... portaos mal. · 2 juegos de esposas para poder atar muñecas y tobillos y no tener que elegir. Quietecitos se les controla mejor. · Mordaza de bola con agujeros. Y es que calladit@s estáis más guap@s. · Cuerda de Bondage de 10m: vale, no es de cuero, pero es extremadamente suave y manejable para practicar todas las ataduras o suspensiones que se os ocurran. · Plumero para caricias. Porque no todo van a ser castigos, también, de vez en cuando, os merecéis una recompensa. · Antifaz de ojos abiertos. No solo decora, sino que además te sorprenderá cuanto te ayuda a meterte en tú nuevo papel. Recordad que el BDSM, como práctica erótica, se apoya siempre en el consentimiento de los participantes... todo con mucho cariñito! No esperéis más!"
445,MS_TUBEL,Masturbador para el pene (Cabezal de Masaje_Sexy PRO),"La orgásmica colección de accesorios para acoplar en el Nuevo Masaje Sexy-PRO está causando estragos de placer carnal que no puedes perderte. Los hay para todos los gustos y todos los cuerpos.Transforma tu MasajeSexy-PRO en hasta SEIS juguetes distintos.¡Descubre la colección completa!Realizados en un agradable TPR liso y sin ftalatos, cada modelo es único y se adapta a la perfección en el cabezal basculante de tu MasajeSexy-PRO, ofreciendo un festival de sensaciones íntimas que no podrás olvidar.MS-TUBEL es un cilindro flexible repleto de pequeños pezoncitos intensificadores en su interior diseñados para masajear el pene con abrazos deliciosos que podrás hacer vibrar al ritmo e intensidad que marques en tu Masaje-Sexy PRO. Original e irresistible a partes iguales. Lubrica su interior con generosidad y experimenta todas sus posibilidades hasta que tu pene aguante: subiendo y bajando, rodeando tan solo el glande, abrazando los testículos, dando vueltas de tornillo o dejándolo quieto pero cambiando las vibraciones... Imaginación al poder y todo el placer que sepas encontrar con la práctica.¿Te sientes TUBEL?"
446,RAW,biquini con esposas y cadenas de amantis,"Nueva colección amantis de lencería fetiche muy dura a precios muy blandos. Déjate envolver por la lujuria y el poder de la dominación y siéntete bien fresca este verano.  ¿Quieres ser la dueña de los juegos más duros? ¿Quieres experimentar el lado más salvaje de la lencería extrema? El conjunto Raw te regala todas estas experiencias y muchas más. Haz tuyo este bikini de polipiel de suave interior con correas de cuero negro, cadenas metálicas y aros de acero que se unen entre si formando este atrevido conjunto que se adapta a todas las siluetas mediante cierre de hebilla para una perfecta adaptación. Adorna tus curvas y resalta tu pecho, la entrepierna y tu trasero con el sujetador sin copas con cierre en espalda y cuello, el tanga de frontal vacío con cadenas y cierre ajustable trasero y como complemento unas esposas de polipiel que puedes unir mediante una fina cadenita –desmontable- al aro central del sujetador, al frontal del tanga o al cabecero de tu cama. ¡¡Pura dinamita!!Talla: única (45-75kg). Composición: polipiel y metal."
447,Kit de Duchas Íntimas,Limpieza y placer con 3 cabezales,"Los humanos adoradores de la limpieza anal más extrema y/o de los cosquilleos íntimos más orgásmicos van a aplaudir después de usar éste Kit de Ducha Íntima y van a quedar más limpitos y/o contentos que nunca.¡Ya podéis concentrar y dominar el chorro de la ducha a vuestro antojo y hacerlo llegar hasta donde os plazca!  Éste kit para duchas íntimas está realizado en aluminio inoxidable y puede enroscarse en la manguera de cualquier ducha estándar de estilo “teléfono” para transformarla en un juguete sexual de lo más orgásmico, o en una herramienta de limpieza de lo más contundente. Elige entre los tres modelos de cabezal incluidos la que más se adapte a tus gustos o necesidades: cada opción ofrece una forma y tamaño distintos, así como una configuración de agujeros diferente, para concentrar la dirección y fuerza de los chorritos de muy diversas maneras. Y tú qué: ¿limpias… o masajeas? · Material: Aluminio inoxidable· Contenido / Medidas :  - Tubo conector (13,5cm de longitud X 2cm de diámetro)  - Cabezal 1 (Forma botón / 2cm de diámetro)  - Cabezal 2 (Forma botón / 2,5cm de diámetro)  - Cabezal 3 (Forma piramidal / 2,5cm de diámetro máximo)  - Juntas plásticas de fontanería (x3)(!) amantis no se hace responsable de las consecuencias de un uso inadecuado pudiera ocasionar."
448,Collar victoriano amantis,lujo sumiso para tus mejores fiestas,"¿Buscas un complemento muy especial? ¿Elegante para una fiesta pública? ¿Excitante para la posterior juerga privada? Si te va el lujo, lo vintage y piensas que la época victoriana fue mejor, déjate seducir por este collar nuevo de amantis. Su estética es muy chic: reproduce un bordado victoriano en tono burdeos con reflejos dorados. Y su interior está forrado de suave espuma, por lo que resulta muy cómodo y agradable al tacto. La cadena a juego, en dorado, acaba en una lazada final con el estampado a juego. ¿Classy, verdad? ¿Cómo vestirlo? En la parte delantera el collar se alarga hacia el esternón, formando un pequeño triángulo, de donde se sujeta una hebilla para poder enlazar con la cadena del collar. En la parte posterior, cierran el collar unos lazos, a modo de corsé, que se anudan para finalizar en una lazada muy elegante.Truquito: como es un collar muy flexible, puedes vestir la parte posterior del collar como parte delantera, mostrando la lazada, para «ocasiones» más públicas, como fiestas o veladas nocturas y dejando la cadena a juego para eventos privados que solo compartirás con tu preciadx amx. Nuestras estilistas recomiendan: están también disponibles las esposas victorianas de amantis a juego. Si vas a practicar una sesión BDSM comme il faut... ¡viste a juego!"
